Name,Volume
"Groß-Glienicker See",4530633
"Flughafensee",3609061
"Schlachtensee",1938747
"Heiligensee",1917019
"Elsensee",798635
"Krumme Lanke",543328
"Grunewaldsee",504574
"Spektelake",476937
"Habermannsee",443049
"Spektesee",420771
"Arkenberger See",409151
"Weißer See",360606
"Butzer See",296806
"Ziegeleisee",294650
"Laßzinssee",265147
"Plötzensee",260316
"Biesdorfer Baggersee",242031
"BuGa-Seen",229814
"Malchower See",226555
"Hundekehlesee",210464
"Halensee",179363
"Schäfersee",171508
"Lietzensee",149627
"BuGa Hauptsee",140304
"Jungfernheideteich",120623
"Orankesee",106050
"Grimnitzsee",100015
"Hermsdorfer See",90309
"Bogenseekette",77073
"Teufelssee",72562
"Nikolassee",58192
"Obersee",56584
"Neuer See",55635
"Neuer See (Hauptsee)",54907
"BuGa Südlicher See",47792
"Waldsee",42393
"Hubertussee",42143
"Dianasee",41644
"Fennsee",41153
"Koenigssee",40974
"BuGa Östlicher See",39349
"Bogensee, Bogenseekette",30521
"Karpfenteich II, Bogenseekette",28060
"Tiergartengewässer Rousseauinsel",27512
"Karpfenteich I, Bogenseekette",18489
"Herthasee",15974
"Karower Teiche",13459
"Weidenteich, Karower Teiche",8151
"Inselteich, Karower Teiche",4754
"BuGa Westlicher See (Irissee)",2989
"Gehrensee",2352
"Neuer See (Süd)",737
